Model                        |  F1   |  Rec. | Prec. |  mAP  || Ins. | Mat. |  Time  || Fail | Ret.
GPT-4.1                      | 0.458 | 0.414 | 0.513 | 0.319 || 12.1 | 0.79 |   8.1s ||  nan |  nan
Gemini 2.5 Flash             | 0.457 | 0.399 | 0.537 | 0.313 || 11.1 | 0.79 |   3.2s ||  nan |  nan
GPT-4.1 mini                 | 0.457 | 0.373 | 0.595 | 0.288 ||  9.0 | 0.81 |   5.2s ||  nan |  nan
o3 (high)                    | 0.456 | 0.445 | 0.469 | 0.331 || 15.0 | 0.76 |  81.1s || 0.00 | 0.04
Grok 4 Fast (high)           | 0.456 | 0.431 | 0.484 | 0.318 || 14.2 | 0.76 |   9.0s || 0.01 | 0.44
Gemini 2.5 Flash (preview)   | 0.454 | 0.393 | 0.538 | 0.310 || 11.1 | 0.79 |   3.6s ||  nan |  nan
GPT-5                        | 0.452 | 0.458 | 0.448 | 0.331 || 16.8 | 0.74 |  50.9s ||  nan |  nan
OVIS 2.5 9B (think)          | 0.452 | 0.356 | 0.620 | 0.291 ||  9.0 | 0.77 |  28.0s ||  nan |  nan
Qwen3-VL 235B A22B (think)   | 0.452 | 0.394 | 0.531 | 0.305 || 10.5 | 0.83 |   6.6s || 0.00 | 0.14
Qwen3-VL 30B A3B (think)     | 0.449 | 0.341 | 0.661 | 0.267 ||  7.1 | 0.85 |  27.1s || 0.00 | 0.12
Qwen3-VL 235B A22B           | 0.449 | 0.388 | 0.538 | 0.304 || 10.3 | 0.81 |   7.1s || 0.01 | 0.08
GPT-5 (high)                 | 0.447 | 0.462 | 0.433 | 0.330 || 17.8 | 0.73 |  95.0s ||  nan |  nan
Grok 4 Fast                  | 0.441 | 0.418 | 0.467 | 0.306 || 14.3 | 0.76 |   8.4s || 0.02 | 0.35
GLM 4.5V                     | 0.439 | 0.346 | 0.604 | 0.286 ||  8.6 | 0.80 |  15.9s || 0.03 | 0.20
GPT-5 nano (high)            | 0.435 | 0.367 | 0.533 | 0.289 || 10.8 | 0.76 |  47.7s ||  nan |  nan
InternVL 3.5 30B A3B (think) | 0.434 | 0.359 | 0.553 | 0.274 || 10.1 | 0.76 |  38.6s ||  nan |  nan
InternVL 3.5 4B (think)      | 0.432 | 0.358 | 0.550 | 0.269 ||  9.6 | 0.78 |  35.5s ||  nan |  nan
GPT-5 nano                   | 0.429 | 0.361 | 0.530 | 0.278 || 10.5 | 0.77 |  26.5s ||  nan |  nan
InternVL 3.5 30B A3B         | 0.421 | 0.332 | 0.584 | 0.264 ||  7.9 | 0.82 |  38.7s ||  nan |  nan
Mistral Medium 3.1 (t=0.15)  | 0.412 | 0.352 | 0.499 | 0.278 || 10.4 | 0.79 |   3.3s ||  nan |  nan
Qwen-VL Plus                 | 0.409 | 0.314 | 0.589 | 0.249 ||  8.0 | 0.79 |   3.6s || 0.01 | 0.44
Mistral Medium 3.1 (t=1.00)  | 0.408 | 0.346 | 0.497 | 0.280 || 11.0 | 0.78 |   3.4s ||  nan |  nan
Claude Sonnet 4.5            | 0.408 | 0.326 | 0.544 | 0.260 ||  9.1 | 0.79 |   6.3s || 0.00 | 0.00
Claude Sonnet 4.5 (high)     | 0.407 | 0.343 | 0.501 | 0.258 || 10.4 | 0.79 |  17.0s || 0.00 | 0.01
InternVL 3.5 2B (think)      | 0.403 | 0.323 | 0.540 | 0.257 ||  8.8 | 0.79 |  30.4s ||  nan |  nan
Gemma 27B                    | 0.402 | 0.343 | 0.489 | 0.256 || 11.1 | 0.75 |  10.5s || 0.00 | 0.00
Claude Sonnet 4              | 0.397 | 0.311 | 0.548 | 0.253 ||  9.1 | 0.75 |   5.9s ||  nan |  nan
Gemini 2.5 Flash Lite        | 0.396 | 0.359 | 0.453 | 0.272 || 10.9 | 0.83 |   3.0s || 0.00 | 0.01
Qwen3-VL 32B                 | 0.396 | 0.345 | 0.471 | 0.253 || 13.4 | 0.79 |  13.5s || 0.19 | 1.15
Gemma 12B                    | 0.388 | 0.312 | 0.517 | 0.248 ||  9.7 | 0.75 |  13.3s || 0.02 | 0.47
Qwen3-VL 30B A3B             | 0.381 | 0.326 | 0.485 | 0.245 ||  9.6 | 0.83 |   7.8s || 0.05 | 0.55
InternVL 3.5 2B              | 0.380 | 0.297 | 0.547 | 0.234 ||  7.2 | 0.84 | 121.1s ||  nan |  nan
Claude Haiku 4.5 (high)      | 0.378 | 0.330 | 0.444 | 0.242 || 12.7 | 0.73 |  15.3s || 0.00 | 0.00
Claude Haiku 4.5             | 0.374 | 0.314 | 0.464 | 0.233 || 11.5 | 0.73 |   4.0s || 0.00 | 0.00
Qwen3-VL 8B                  | 0.370 | 0.339 | 0.443 | 0.264 ||  9.8 | 0.91 |   5.2s || 0.01 | 0.05
GPT-4.1 nano                 | 0.363 | 0.285 | 0.505 | 0.216 ||  7.6 | 0.85 |   4.0s ||  nan |  nan
Gemma 4B                     | 0.356 | 0.265 | 0.544 | 0.217 ||  7.4 | 0.78 |   3.2s || 0.00 | 0.01
Qwen3-VL 8B (think)          | 0.330 | 0.232 | 0.579 | 0.194 ||  8.8 | 0.80 |  84.7s || 0.31 | 1.24
